customer_id,age,region,loyalty_tier
C000000,65,Midwest,None
C000001,37,Canada,None
C000002,45,South,None
C000003,57,Canada,None
C000004,72,Midwest,Silver
C000005,49,South,None
C000006,66,Midwest,Gold
C000007,24,Canada,Silver
C000008,68,South,Silver
C000009,29,Northeast,Gold
C000010,61,Midwest,Gold
C000011,48,Northeast,Gold
C000012,52,South,None
C000013,23,South,None
C000014,48,Canada,Silver
C000015,22,Northeast,Silver
C000016,49,Midwest,Silver
C000017,41,West,Silver
C000018,29,Midwest,None
C000019,45,Canada,None
C000020,30,Midwest,Silver
C000021,22,Midwest,Silver
C000022,19,Canada,Gold
C000023,37,Midwest,Silver
C000024,60,Midwest,None
C000025,50,Midwest,None
C000026,25,Canada,None
C000027,43,Midwest,None
C000028,51,South,Silver
C000029,31,Northeast,Silver
C000030,25,Northeast,Gold
C000031,32,Northeast,Silver
C000032,21,Midwest,None
C000033,31,South,Silver
C000034,48,West,None
C000035,63,Canada,None
C000036,67,Northeast,None
C000037,56,South,None
C000038,38,West,None
C000039,71,Northeast,Silver
C000040,70,South,Silver
C000041,38,Midwest,None
C000042,18,South,Silver
C000043,42,Canada,None
C000044,44,Midwest,Silver
C000045,56,Canada,Silver
C000046,26,Midwest,None
C000047,49,West,Silver
C000048,35,West,None
C000049,46,West,None
C000050,19,Canada,None
C000051,48,Midwest,None
C000052,20,Canada,None
C000053,66,West,None
C000054,58,South,None
C000055,70,Northeast,None
C000056,55,West,Silver
C000057,73,Northeast,Silver
C000058,29,Canada,Gold
C000059,18,West,Silver
C000060,69,Canada,Gold
C000061,55,Midwest,Silver
C000062,57,Northeast,Silver
C000063,34,West,Silver
C000064,37,West,Gold
C000065,56,Midwest,Silver
C000066,41,West,Gold
C000067,22,South,None
C000068,34,South,Platinum
C000069,39,Northeast,None
C000070,65,Midwest,None
C000071,37,Midwest,None
C000072,46,West,Silver
C000073,52,South,None
C000074,25,West,None
C000075,51,Canada,None
C000076,29,Midwest,Silver
C000077,68,West,None
C000078,34,South,Silver
C000079,35,South,Silver
C000080,40,Midwest,Silver
C000081,38,South,Silver
C000082,51,West,None
C000083,59,Canada,Platinum
C000084,72,South,Gold
C000085,68,West,None
C000086,32,Canada,None
C000087,52,Canada,Silver
C000088,36,Northeast,Gold
C000089,63,South,Gold
C000090,19,Midwest,Gold
C000091,74,South,Platinum
C000092,39,West,Silver
C000093,60,West,None
C000094,56,West,None
C000095,38,Northeast,None
C000096,72,Canada,None
C000097,33,West,None
C000098,60,Canada,None
C000099,70,West,Silver
C000100,24,West,None
C000101,70,Canada,Gold
C000102,68,West,Gold
C000103,39,South,None
C000104,65,Northeast,None
C000105,18,Canada,None
C000106,28,South,Gold
C000107,60,South,Silver
C000108,71,Northeast,None
C000109,25,Canada,Silver
C000110,58,Midwest,Gold
C000111,23,West,None
C000112,62,Northeast,Silver
C000113,69,Northeast,None
C000114,44,South,None
C000115,23,West,Gold
C000116,29,Canada,None
C000117,46,West,Gold
C000118,63,Northeast,Silver
C000119,47,Canada,None
C000120,45,South,Silver
C000121,52,Midwest,None
C000122,73,Canada,None
C000123,62,South,None
C000124,26,Northeast,Gold
C000125,29,Midwest,Gold
C000126,38,Canada,None
C000127,33,South,None
C000128,59,South,Platinum
C000129,74,Northeast,Silver
C000130,50,Midwest,None
C000131,68,Northeast,None
C000132,42,South,None
C000133,57,West,None
C000134,57,West,Silver
C000135,34,Midwest,Silver
C000136,59,Northeast,Silver
C000137,48,South,None
C000138,50,Midwest,Silver
C000139,32,Midwest,Silver
C000140,36,South,Silver
C000141,66,South,None
C000142,53,Canada,None
C000143,25,Northeast,None
C000144,49,Midwest,None
C000145,53,Northeast,Silver
C000146,63,West,Silver
C000147,66,Midwest,None
C000148,55,Northeast,Silver
C000149,18,Midwest,Silver
C000150,46,Canada,Silver
C000151,29,Northeast,Silver
C000152,19,West,Gold
C000153,70,West,Silver
C000154,27,Canada,None
C000155,32,South,Gold
C000156,37,Northeast,None
C000157,44,South,Silver
C000158,52,Northeast,Platinum
C000159,35,South,None
C000160,63,West,None
C000161,26,South,None
C000162,72,Midwest,Platinum
C000163,66,South,None
C000164,52,West,Silver
C000165,20,Midwest,None
C000166,59,Canada,None
C000167,58,Canada,None
C000168,53,Midwest,Gold
C000169,33,Canada,None
C000170,42,Northeast,Gold
C000171,41,South,Silver
C000172,52,South,Gold
C000173,36,West,None
C000174,40,West,Silver
C000175,69,Midwest,None
C000176,43,South,None
C000177,51,South,Silver
C000178,69,South,None
C000179,71,South,Platinum
C000180,50,Canada,None
C000181,33,Canada,None
C000182,23,Midwest,Silver
C000183,67,Northeast,None
C000184,47,West,None
C000185,50,Northeast,Platinum
C000186,72,Midwest,None
C000187,39,Canada,Silver
C000188,23,Midwest,None
C000189,56,Canada,None
C000190,73,Midwest,None
C000191,27,Midwest,Gold
C000192,74,Northeast,Silver
C000193,48,South,None
C000194,49,West,None
C000195,72,Midwest,Gold
C000196,36,Canada,None
C000197,60,West,Silver
C000198,18,Canada,None
C000199,56,Canada,None
C000200,18,Northeast,None
C000201,18,West,None
C000202,40,Canada,Silver
C000203,39,Midwest,None
C000204,62,South,Gold
C000205,68,Canada,None
C000206,71,Northeast,None
C000207,53,South,None
C000208,26,Canada,None
C000209,56,Midwest,None
C000210,45,Canada,None
C000211,48,South,None
C000212,46,South,None
C000213,68,Northeast,None
C000214,39,South,None
C000215,72,Canada,None
C000216,48,West,None
C000217,57,Northeast,None
C000218,70,Midwest,None
C000219,64,Canada,None
C000220,42,South,Platinum
C000221,29,Canada,None
C000222,25,Midwest,None
C000223,38,Midwest,Gold
C000224,55,West,None
C000225,63,Canada,None
C000226,19,South,Gold
C000227,44,South,Silver
C000228,71,Canada,Silver
C000229,64,Canada,None
C000230,71,Canada,None
C000231,72,Midwest,None
C000232,23,Northeast,Silver
C000233,56,Midwest,None
C000234,49,Midwest,Silver
C000235,45,Canada,Gold
C000236,63,Northeast,Platinum
C000237,71,Canada,None
C000238,44,South,Silver
C000239,54,Northeast,Silver
C000240,45,West,Silver
C000241,54,Northeast,Gold
C000242,73,Canada,Silver
C000243,64,South,Silver
C000244,31,South,None
C000245,67,Midwest,Silver
C000246,47,Midwest,Silver
C000247,51,Northeast,Silver
C000248,24,South,Silver
C000249,43,Northeast,None
C000250,35,West,None
C000251,23,Canada,Platinum
C000252,66,Northeast,None
C000253,25,Canada,Silver
C000254,58,Northeast,Silver
C000255,60,Midwest,None
C000256,52,Midwest,None
C000257,65,Northeast,Silver
C000258,24,Canada,Silver
C000259,18,Canada,None
C000260,66,West,Gold
C000261,28,West,Silver
C000262,34,South,None
C000263,57,West,None
C000264,48,Northeast,None
C000265,29,South,None
C000266,31,West,None
C000267,65,Midwest,None
C000268,47,South,Platinum
C000269,70,Midwest,Silver
C000270,50,Canada,Gold
C000271,55,South,Silver
C000272,37,Canada,Silver
C000273,19,Canada,Gold
C000274,46,South,None
C000275,59,Midwest,Silver
C000276,41,Midwest,Gold
C000277,67,South,Gold
C000278,57,Northeast,None
C000279,46,Midwest,Gold
C000280,49,West,Silver
C000281,30,Midwest,None
C000282,68,Canada,None
C000283,21,Midwest,None
C000284,20,Midwest,None
C000285,62,Midwest,None
C000286,19,West,None
C000287,47,South,Gold
C000288,28,West,Gold
C000289,56,Canada,Gold
C000290,24,Northeast,Silver
C000291,33,West,Gold
C000292,47,South,None
C000293,39,Northeast,None
C000294,29,Midwest,None
C000295,21,West,None
C000296,18,Canada,Silver
C000297,28,Northeast,None
C000298,34,Midwest,Platinum
C000299,24,Midwest,None
C000300,47,Canada,None
C000301,68,Midwest,None
C000302,58,Northeast,None
C000303,35,Canada,Platinum
C000304,42,Northeast,Silver
C000305,61,South,None
C000306,72,West,Silver
C000307,49,Northeast,None
C000308,29,Northeast,None
C000309,67,Canada,None
C000310,47,Canada,None
C000311,19,South,Silver
C000312,32,Canada,Gold
C000313,48,Canada,None
C000314,63,West,Silver
C000315,66,South,Silver
C000316,28,Midwest,None
C000317,59,Northeast,None
C000318,72,Midwest,None
C000319,63,Northeast,None
C000320,58,South,None
C000321,63,West,None
C000322,49,Northeast,None
C000323,52,South,Silver
C000324,48,West,None
C000325,72,Midwest,Gold
C000326,38,Northeast,None
C000327,62,Northeast,None
C000328,19,Canada,Silver
C000329,41,Midwest,Silver
C000330,70,Midwest,Gold
C000331,31,South,None
C000332,63,South,None
C000333,46,Northeast,Silver
C000334,25,Canada,Silver
C000335,24,South,Silver
C000336,24,West,Silver
C000337,44,West,None
C000338,35,Northeast,Silver
C000339,68,West,Silver
C000340,61,West,Silver
C000341,26,West,None
C000342,46,South,Gold
C000343,61,West,Silver
C000344,55,Midwest,None
C000345,18,Midwest,None
C000346,18,Northeast,Silver
C000347,51,Northeast,Gold
C000348,70,Northeast,None
C000349,20,South,Gold
C000350,27,South,None
C000351,28,Northeast,None
C000352,36,South,Silver
C000353,68,Canada,None
C000354,71,Northeast,None
C000355,35,Northeast,Silver
C000356,59,South,None
C000357,18,West,None
C000358,47,West,None
C000359,53,Midwest,None
C000360,67,Northeast,None
C000361,64,Midwest,None
C000362,21,West,Gold
C000363,41,Canada,Silver
C000364,22,South,Silver
C000365,18,West,None
C000366,26,South,None
C000367,71,Midwest,Gold
C000368,33,Midwest,Silver
C000369,60,South,Gold
C000370,58,West,None
C000371,67,Midwest,Silver
C000372,48,Midwest,Silver
C000373,73,South,None
C000374,42,West,Gold
C000375,62,Canada,None
C000376,62,West,None
C000377,48,Northeast,None
C000378,36,Midwest,Silver
C000379,27,West,Silver
C000380,22,Midwest,None
C000381,46,Canada,Platinum
C000382,40,Northeast,None
C000383,29,Northeast,Gold
C000384,61,West,Silver
C000385,27,Midwest,Gold
C000386,45,Northeast,Silver
C000387,42,South,None
C000388,73,South,None
C000389,23,South,Gold
C000390,66,Midwest,Gold
C000391,57,Canada,Silver
C000392,63,South,Silver
C000393,62,Canada,None
C000394,62,Northeast,None
C000395,42,South,None
C000396,51,West,Silver
C000397,38,Northeast,Silver
C000398,69,Northeast,Silver
C000399,30,Northeast,Silver
C000400,51,Northeast,None
C000401,30,Midwest,None
C000402,39,South,None
C000403,72,Midwest,None
C000404,29,Northeast,Silver
C000405,68,South,Silver
C000406,64,Northeast,Gold
C000407,38,Canada,None
C000408,39,West,Gold
C000409,18,Northeast,Silver
C000410,63,West,None
C000411,55,Canada,Silver
C000412,74,Canada,Platinum
C000413,34,Midwest,None
C000414,40,Canada,Silver
C000415,57,West,None
C000416,37,Midwest,None
C000417,36,Midwest,None
C000418,27,West,None
C000419,74,West,Silver
C000420,45,Midwest,None
C000421,61,South,Silver
C000422,55,Midwest,Gold
C000423,52,Northeast,Gold
C000424,35,Midwest,None
C000425,35,Canada,None
C000426,45,Northeast,None
C000427,25,Canada,None
