event_id,customer_id,product_id,event_type,timestamp
E000149,C000467,P00296,view,2024-01-01T01:25:00
E000790,C000164,P00088,view,2024-01-01T01:35:00
E004896,C000024,P00101,view,2024-01-01T01:48:00
E000777,C000591,P00135,cart,2024-01-01T02:17:00
E003792,C000715,P00443,cart,2024-01-01T02:47:00
E004466,C000302,P00039,view,2024-01-01T03:35:00
E005857,C000590,P00426,view,2024-01-01T04:07:00
E004728,C000563,P00264,purchase,2024-01-01T04:09:00
E003314,C000256,P00126,view,2024-01-01T06:33:00
E004146,C000498,P00255,view,2024-01-01T06:45:00
E004631,C000459,P00001,purchase,2024-01-01T06:49:00
E004486,C000036,P00193,cart,2024-01-01T07:48:00
E001776,C000527,P00158,cart,2024-01-01T09:32:00
E005673,C000637,P00226,view,2024-01-01T09:35:00
E005623,C000763,P00202,view,2024-01-01T10:22:00
E001662,C000580,P00471,view,2024-01-01T10:44:00
E003623,C000770,P00254,view,2024-01-01T11:06:00
E003259,C000617,P00122,view,2024-01-01T11:27:00
E002959,C000735,P00020,view,2024-01-01T11:44:00
E005175,C000536,P00143,cart,2024-01-01T11:54:00
E001510,C000076,P00460,purchase,2024-01-01T12:13:00
E005192,C000347,P00458,purchase,2024-01-01T12:38:00
E001204,C000157,P00388,purchase,2024-01-01T13:09:00
E004870,C000257,P00261,view,2024-01-01T13:41:00
E003374,C000720,P00348,purchase,2024-01-01T14:15:00
E002391,C000237,P00234,view,2024-01-01T15:21:00
E001056,C000623,P00080,view,2024-01-01T15:28:00
E002910,C000353,P00122,view,2024-01-01T16:36:00
E002310,C000496,P00096,cart,2024-01-01T17:17:00
E002211,C000798,P00299,cart,2024-01-01T17:34:00
E000468,C000438,P00041,view,2024-01-01T17:53:00
E001575,C000306,P00276,view,2024-01-01T19:17:00
E005944,C000486,P00318,view,2024-01-01T21:12:00
E002880,C000013,P00479,view,2024-01-01T21:26:00
E002483,C000471,P00460,cart,2024-01-01T22:49:00
E000916,C000772,P00102,view,2024-01-01T23:31:00
E003982,C000367,P00288,purchase,2024-01-01T23:33:00
E002415,C000748,P00036,purchase,2024-01-02T00:13:00
E003606,C000330,P00126,view,2024-01-02T00:31:00
E002051,C000086,P00491,view,2024-01-02T00:32:00
E000893,C000279,P00392,purchase,2024-01-02T00:45:00
E000043,C000618,P00354,view,2024-01-02T01:09:00
E001600,C000382,P00181,view,2024-01-02T01:49:00
E004801,C000126,P00295,view,2024-01-02T02:04:00
E003990,C000696,P00302,view,2024-01-02T02:33:00
E002505,C000563,P00243,view,2024-01-02T03:41:00
E004247,C000700,P00205,purchase,2024-01-02T03:56:00
E005363,C000335,P00204,view,2024-01-02T04:07:00
E001136,C000558,P00322,view,2024-01-02T04:21:00
E005341,C000086,P00207,purchase,2024-01-02T05:03:00
E003922,C000025,P00169,view,2024-01-02T05:51:00
E004562,C000240,P00181,view,2024-01-02T06:17:00
E005443,C000379,P00150,view,2024-01-02T07:01:00
E004308,C000774,P00078,cart,2024-01-02T07:48:00
E001651,C000309,P00128,purchase,2024-01-02T08:14:00
E001529,C000619,P00429,view,2024-01-02T08:31:00
E005121,C000183,P00310,view,2024-01-02T08:53:00
E003442,C000423,P00277,cart,2024-01-02T09:16:00
E003393,C000260,P00448,view,2024-01-02T09:19:00
E004380,C000244,P00172,view,2024-01-02T09:59:00
E000511,C000309,P00484,view,2024-01-02T11:18:00
E005545,C000044,P00352,view,2024-01-02T12:52:00
E000311,C000117,P00331,cart,2024-01-02T12:55:00
E001049,C000667,P00164,view,2024-01-02T14:18:00
E002673,C000108,P00184,cart,2024-01-02T15:34:00
E000986,C000234,P00173,view,2024-01-02T15:49:00
E001870,C000243,P00164,cart,2024-01-02T16:04:00
E003592,C000506,P00209,view,2024-01-02T16:04:00
E002661,C000749,P00272,view,2024-01-02T16:42:00
E003161,C000115,P00153,purchase,2024-01-02T16:46:00
E004668,C000036,P00205,view,2024-01-02T17:04:00
E002960,C000218,P00485,view,2024-01-02T17:10:00
