product_id,category,brand,price
P00000,apparel,Nova,65.11
P00001,home,Sonic,25.95
P00002,sports,Sonic,43.24
P00003,grocery,Leafy,44.69
P00004,sports,Alpina,50.45
P00005,electronics,Acme,18.83
P00006,home,Leafy,15.58
P00007,grocery,Leafy,6.07
P00008,beauty,Nova,12.23
P00009,apparel,Nova,25.62
P00010,sports,Nova,15.01
P00011,beauty,Nova,11.04
P00012,apparel,Alpina,25.41
P00013,sports,Nova,62.81
P00014,home,Kairo,23.59
P00015,apparel,Sonic,11.1
P00016,grocery,Zentra,59.78
P00017,apparel,Sonic,14.27
P00018,apparel,Kairo,69.1
P00019,electronics,Zentra,20.41
P00020,home,Zentra,26.37
P00021,sports,Acme,73.16
P00022,grocery,Sonic,9.53
P00023,beauty,Leafy,11.76
P00024,grocery,Alpina,19.52
P00025,grocery,Sonic,22.24
P00026,beauty,Alpina,155.94
P00027,grocery,Alpina,13.18
P00028,apparel,Sonic,9.85
P00029,beauty,Nova,12.74
P00030,sports,Alpina,28.86
P00031,home,Sonic,34.62
P00032,sports,Leafy,14.95
P00033,beauty,Zentra,24.9
P00034,home,Alpina,95.74
P00035,grocery,Kairo,25.14
P00036,electronics,Alpina,30.71
P00037,apparel,Nova,92.05
P00038,home,Alpina,15.05
P00039,beauty,Sonic,14.38
P00040,sports,Zentra,17.66
P00041,grocery,Zentra,16.95
P00042,grocery,Zentra,6.86
P00043,home,Nova,27.02
P00044,beauty,Acme,28.56
P00045,apparel,Kairo,21.54
P00046,electronics,Sonic,29.17
P00047,home,Leafy,29.39
P00048,apparel,Alpina,9.76
P00049,beauty,Leafy,30.03
P00050,sports,Alpina,36.27
P00051,electronics,Sonic,8.02
P00052,home,Leafy,68.32
P00053,home,Leafy,10.33
P00054,electronics,Leafy,11.06
P00055,sports,Nova,28.26
P00056,grocery,Kairo,35.67
P00057,grocery,Alpina,42.28
P00058,grocery,Kairo,36.33
P00059,grocery,Sonic,17.05
P00060,grocery,Sonic,26.47
P00061,electronics,Zentra,19.65
P00062,home,Acme,27.72
P00063,sports,Sonic,25.74
P00064,grocery,Leafy,17.23
P00065,home,Sonic,19.24
P00066,beauty,Sonic,6.71
P00067,beauty,Acme,43.86
P00068,sports,Zentra,30.21
P00069,apparel,Leafy,4.88
P00070,electronics,Sonic,42.74
P00071,home,Zentra,23.64
P00072,apparel,Sonic,12.73
P00073,sports,Acme,11.97
P00074,apparel,Leafy,15.15
P00075,grocery,Acme,12.78
P00076,grocery,Leafy,14.04
P00077,grocery,Zentra,80.68
P00078,sports,Zentra,31.81
P00079,electronics,Alpina,102.02
P00080,grocery,Leafy,28.73
P00081,electronics,Nova,36.8
P00082,sports,Zentra,13.24
P00083,beauty,Acme,21.81
P00084,electronics,Nova,23.17
P00085,home,Sonic,37.87
P00086,home,Kairo,23.7
P00087,apparel,Alpina,31.37
P00088,electronics,Leafy,30.6
P00089,grocery,Zentra,19.85
P00090,grocery,Alpina,18.47
P00091,electronics,Kairo,15.36
P00092,apparel,Acme,52.33
P00093,home,Leafy,19.85
P00094,apparel,Leafy,30.88
P00095,electronics,Nova,21.99
P00096,sports,Alpina,51.62
P00097,home,Alpina,6.1
P00098,beauty,Alpina,30.33
P00099,apparel,Alpina,10.19
P00100,sports,Zentra,32.25
P00101,apparel,Kairo,22.14
P00102,electronics,Zentra,8.72
P00103,beauty,Sonic,31.07
P00104,beauty,Kairo,28.7
P00105,sports,Alpina,20.87
P00106,electronics,Alpina,22.8
P00107,beauty,Nova,27.47
P00108,sports,Nova,55.97
P00109,home,Acme,19.69
P00110,sports,Kairo,49.86
P00111,electronics,Nova,23.9
P00112,apparel,Alpina,60.77
P00113,electronics,Leafy,20.81
P00114,home,Kairo,15.39
P00115,grocery,Kairo,11.38
P00116,electronics,Sonic,23.96
P00117,home,Alpina,14.08
P00118,apparel,Alpina,65.57
P00119,grocery,Nova,13.33
P00120,sports,Nova,15.13
P00121,apparel,Sonic,36.85
P00122,apparel,Zentra,56.26
P00123,sports,Acme,40.92
P00124,electronics,Zentra,51.47
P00125,electronics,Nova,23.19
P00126,beauty,Sonic,23.42
P00127,beauty,Leafy,100.31
P00128,beauty,Zentra,80.09
P00129,apparel,Acme,40.44
P00130,grocery,Zentra,53.23
P00131,apparel,Alpina,44.74
P00132,grocery,Zentra,10.55
P00133,apparel,Kairo,23.86
P00134,home,Kairo,69.95
P00135,grocery,Zentra,40.62
P00136,home,Leafy,23.46
P00137,beauty,Acme,70.54
P00138,sports,Kairo,31.77
P00139,electronics,Nova,41.63
P00140,beauty,Leafy,31.89
P00141,home,Zentra,35.83
